Condition,Question,Answer,AddresseeCondition_Expected,Context_sentence,DM,Number,PSI_item,Item,PSI_type,JointCondition_Expected,Order,SpeakerCondition_Expected,TrialType,subjective,ImageFileName,Comments
Joint,Mary asks: Who is on the left?,Jo says: Jan is on the left.,0,"Jo is hosting a party for friends out of town. Jo knows everybody, but nobody else knows each other.",Is Jo right?,1,left-of,party,locative,1,"""""From left to right, the friends are standing in this order: Su is leftmost, then Jan, then Jo, Mary, then Tom on the right.""""",0,test,1,left-of_party_1.png,
Joint,Tim asks: Who is on the right?,Tom says: Jerri is on the right,0,"Tim is going to the local dog park. He sees a friend, Tom, there talking to some other dog owners. Tom knows all the dog owners, but Tim doesn't.",Is Tim right?,2,right-of,Dog,locative,1,"""""From right to left, the dog owners are in this order: Shawna, Tim, Tom, Jerri, Paula.""""",0,test,1,right-of_dog_1.png,
Joint,Ellis asks: Who is in back?,Mac says: Finch is in back,0,"Mac is standing in line at a bookstore. She sees several friends in line as well. One of her friends, Dot, doesn't know anyone in line but Mac.",Is Mac right?,3,in the back,books,locative,1,"""""From front to back, the people in line are in this order: Ellis, John, Mac, Dot, Finch.""""",0,test,1,in-back_books_1.png,??isnt this speaker oriented?
Joint,Pete asks: Who is in front?,Lou says: Toni is in front.,0,"Lou is at a concert with his high school class. He sees several friends at the concert as well. One of his friends, Pete, doesn't know anyone there but Lou.",Is Lou right?,4,in-front-of,concert,locative,1,"""""From front to back, the people in line are in this order: Harper, Addison, Lou, Pete, Toni.""""",0,test,1,in-front_concert_1.png,
Joint,Anna asks: Who is next to Liz?,Hank says: Karen is next to Liz.,0,"Hank is at the movies. He sits down and realizes he is surrounded by friends. He knows everyone, but his friend Anna is there and isn't acquainted with this friend group. She only knows Hank.",Is Hank right?,5,next-to,movies,locative,1,"""""From left to right, the friends are sitting in this order: Liz, Karen, Hank, Anna, Bess.""""",0,test,1,next-to_movies_1.png,
Joint,Daniel asks: Who is to the north?,Kris says: Paul is to the north,0,A group of friends is playing a game of hide and seek. Kris knows the placement of everyone. They are set up according to the following diagram.,Is Kris right?,6,north,car,locative,1,"""""North to South: Paul, Daniel, Kris, Juan, Yoshi.""""",0,test,0,north_car_1.png,
Joint,Charlotte asks: Who is to the south?,Christina says: Willie is to the south.,0,A group of friends is playing paintball. Christina is knows where everyone is. They are set up according to the following diagram.,Is Christina right?,7,south,train,locative,1,"""""North to South: Charlotte, Dine, Christina, Willie, Lindsey.""""",0,test,0,south_train_1.png,???
Joint,Layla asks: Who is to the east?,Danielle says: Luciano is to the east.,0,A group of friends is playing capture the flag. Danielle knows where everyone is. They are set up according to the following diagram.,Is Danielle right?,8,east,bike,locative,1,"""""East to West: Luciano, Layla, Danielle, Rae, Steve.""""",0,test,0,east_bike_1.png,
Joint,Sarah asks: Who is to the west?,Tecua says: Tara is to the west.,0,A group of friends is playing manhunt. Tecua knows where everyone is. They are set up according to the following diagram.,Is Tecua right?,9,west,bus,locative,1,"""""East to West: Mellie, Sarah, Tecua, Tara, Charlotte.""""",0,test,0,west_bus_1.png,
Speaker,Tom asks: Who is on the left?,Jo says: Mary is on the left.,0,"Jo is hosting a party for friends out of town. Jo knows everybody, but nobody else knows each other.",Is Jo right?,10,left-of,party,locative,1,"""""From left to right, the friends are standing in this order: Su is leftmost, then Jan, then Jo, Mary, then Tom on the right.""""",0,test,1,left-of_party_2.png,
